message_id,customer_id,timestamp,channel,message_text,is_manipulative
MSG_00045,CUST101170,2025-10-28 03:51:52,chat,Your balance update: ₹3696 available.,0
MSG_00046,CUST101513,2025-10-12 11:40:44,email,Your payment of ₹8998 was successful.,0
MSG_00047,CUST100918,2025-10-13 02:42:50,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00048,CUST100781,2025-10-24 13:29:31,email,Payment received for order #7885. Thank you for shopping with us.,0
MSG_00049,CUST100728,2025-10-21 04:59:06,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00050,CUST100196,2025-10-24 04:17:14,chat,Your SBI card will be blocked within 24 hours. Verify OTP now.,1
MSG_00051,CUST100819,2025-10-12 00:55:26,call,Unusual activity detected. Click here to secure your card.,0
MSG_00052,CUST100158,2025-10-14 06:11:39,email,Your payment of ₹2625 was successful.,0
MSG_00053,CUST101588,2025-10-08 00:19:04,call,Your balance update: ₹2300 available.,0
MSG_00054,CUST101883,2025-10-28 21:06:50,call,Your balance update: ₹7305 available.,0
MSG_00055,CUST101381,2025-10-23 07:16:16,chat,Your payment of ₹2583 was successful.,0
MSG_00056,CUST101636,2025-10-14 14:57:39,email,"Dear customer, your monthly statement is ready.",0
MSG_00057,CUST101653,2025-10-09 18:50:14,sms,Your payment of ₹2598 was successful.,0
MSG_00058,CUST100429,2025-10-22 16:05:32,email,Payment received for order #9943. Thank you for shopping with us.,0
MSG_00059,CUST101906,2025-10-04 21:11:08,email,Your payment of ₹4410 was successful.,0
MSG_00060,CUST101689,2025-10-05 06:38:41,sms,You have won a cashback. Enter your credentials to claim.,1
MSG_00061,CUST100837,2025-10-31 15:01:56,sms,Your account will be locked soon. Confirm details.,0
MSG_00062,CUST100062,2025-11-02 17:50:30,sms,"Dear customer, your monthly statement is ready.",0
MSG_00063,CUST100099,2025-10-07 03:00:48,chat,Your payment of ₹6790 was successful.,0
MSG_00064,CUST101178,2025-10-20 21:11:17,chat,Your payment of ₹7233 was successful.,0
MSG_00065,CUST100519,2025-10-19 23:30:18,chat,Your payment of ₹5331 was successful.,0
MSG_00066,CUST101530,2025-10-29 01:48:42,chat,Your balance update: ₹8402 available.,0
MSG_00067,CUST101504,2025-10-12 20:31:25,sms,Your payment of ₹2150 was successful.,0
MSG_00068,CUST101417,2025-10-23 14:59:53,sms,Payment received for order #8496. Thank you for shopping with us.,0
MSG_00069,CUST101633,2025-10-08 15:02:23,email,Your balance update: ₹7364 available.,0
MSG_00070,CUST101866,2025-10-30 22:01:26,email,Payment received for order #1591. Thank you for shopping with us.,0
MSG_00071,CUST100690,2025-10-29 06:24:34,call,Payment received for order #9219. Thank you for shopping with us.,0
MSG_00072,CUST101655,2025-10-20 09:44:00,chat,Payment received for order #8310. Thank you for shopping with us.,0
MSG_00073,CUST100289,2025-11-02 13:00:23,sms,Payment received for order #3190. Thank you for shopping with us.,0
MSG_00074,CUST101341,2025-10-13 21:36:25,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00075,CUST100083,2025-10-28 23:59:00,call,Unusual activity detected. Click here to secure your card.,0
MSG_00076,CUST100651,2025-10-11 08:59:32,chat,Your balance update: ₹1880 available.,0
MSG_00077,CUST101896,2025-10-19 07:13:42,sms,Your payment of ₹9419 was successful.,0
MSG_00078,CUST101577,2025-10-30 07:09:42,chat,Transaction declined. Update your information.,0
MSG_00079,CUST101492,2025-11-03 03:37:51,call,"Dear customer, your monthly statement is ready.",0
MSG_00080,CUST101682,2025-10-25 11:52:31,sms,Payment received for order #1587. Thank you for shopping with us.,0
MSG_00081,CUST101472,2025-10-21 10:37:16,email,Your payment of ₹931 was successful.,0
MSG_00082,CUST100657,2025-10-13 00:53:10,chat,Your balance update: ₹9292 available.,0
MSG_00083,CUST100952,2025-10-04 17:43:36,email,Your payment of ₹6825 was successful.,0
MSG_00084,CUST100251,2025-10-24 19:41:38,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00085,CUST101274,2025-10-13 03:49:24,chat,Your payment of ₹9527 was successful.,0
MSG_00086,CUST101450,2025-10-10 10:22:46,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00087,CUST101070,2025-10-09 11:47:17,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00088,CUST101307,2025-10-16 00:19:36,call,Your account will be locked soon. Confirm details.,0
MSG_00089,CUST101384,2025-10-06 13:16:30,sms,Your balance update: ₹7010 available.,0
MSG_00090,CUST101754,2025-10-12 14:42:43,call,"Dear customer, your account will be deactivated today unless you verify.",1
MSG_00091,CUST100620,2025-10-11 19:36:01,call,Your payment of ₹2435 was successful.,0
MSG_00092,CUST101269,2025-10-06 10:41:05,sms,Unusual activity detected. Click here to secure your card.,0
MSG_00093,CUST100451,2025-10-24 07:30:36,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00094,CUST101421,2025-10-12 19:31:05,email,Your balance update: ₹419 available.,0
MSG_00095,CUST101315,2025-10-16 22:06:05,chat,Your balance update: ₹769 available.,0
MSG_00096,CUST101528,2025-10-27 13:14:59,sms,Payment received for order #9765. Thank you for shopping with us.,0
MSG_00097,CUST101024,2025-10-10 10:54:25,call,Your balance update: ₹8894 available.,0
MSG_00098,CUST101105,2025-10-16 18:32:26,sms,Your balance update: ₹1509 available.,0
MSG_00099,CUST100290,2025-10-31 13:59:32,sms,"Dear customer, your monthly statement is ready.",0
MSG_00100,CUST100541,2025-10-21 05:57:28,email,Your balance update: ₹8263 available.,0
MSG_00101,CUST101504,2025-10-08 15:18:43,call,Your payment of ₹2400 was successful.,0
MSG_00102,CUST101851,2025-11-03 13:50:35,chat,Your balance update: ₹9085 available.,0
MSG_00103,CUST100112,2025-10-24 21:11:25,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00104,CUST101364,2025-10-13 03:44:44,chat,Your payment of ₹6788 was successful.,0
MSG_00105,CUST100491,2025-10-15 12:44:04,sms,Payment received for order #6806. Thank you for shopping with us.,0
MSG_00106,CUST100575,2025-10-15 02:10:06,email,"Dear customer, your monthly statement is ready.",0
MSG_00107,CUST101360,2025-10-30 04:11:16,sms,"Dear customer, your monthly statement is ready.",0
MSG_00108,CUST100856,2025-10-27 14:46:57,sms,Payment received for order #1483. Thank you for shopping with us.,0
MSG_00109,CUST101359,2025-10-06 03:01:09,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00110,CUST101787,2025-10-09 09:12:13,email,Payment received for order #9392. Thank you for shopping with us.,0
MSG_00111,CUST100132,2025-10-10 05:13:33,sms,Payment received for order #7928. Thank you for shopping with us.,0
MSG_00112,CUST101369,2025-10-27 11:02:34,sms,Your payment of ₹973 was successful.,0
MSG_00113,CUST101453,2025-10-22 09:01:53,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00114,CUST101597,2025-10-26 12:45:52,email,Unusual activity detected. Click here to secure your card.,0
MSG_00115,CUST101929,2025-10-28 08:37:22,chat,Your payment of ₹4046 was successful.,0
MSG_00116,CUST101740,2025-10-26 05:12:22,call,Your balance update: ₹9592 available.,0
MSG_00117,CUST101983,2025-10-28 08:50:07,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00118,CUST100580,2025-10-27 14:36:49,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00119,CUST101850,2025-10-06 01:16:43,sms,Your balance update: ₹9350 available.,0
MSG_00120,CUST100109,2025-10-30 05:13:37,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00121,CUST100935,2025-10-30 00:49:03,sms,Payment received for order #4881. Thank you for shopping with us.,0
MSG_00122,CUST100340,2025-10-16 18:27:27,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00123,CUST101670,2025-10-08 23:39:39,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00124,CUST100024,2025-10-13 06:44:50,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00125,CUST101226,2025-11-02 07:50:48,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00126,CUST100959,2025-10-08 16:26:33,call,Your balance update: ₹588 available.,0
MSG_00127,CUST101738,2025-11-01 08:58:42,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00128,CUST100826,2025-10-14 23:17:36,chat,Your balance update: ₹3272 available.,0
MSG_00129,CUST100742,2025-10-12 19:41:23,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00130,CUST101116,2025-10-12 16:05:32,chat,Your payment of ₹2078 was successful.,0
MSG_00131,CUST101646,2025-10-26 22:05:41,sms,Payment received for order #6317. Thank you for shopping with us.,0
MSG_00132,CUST100418,2025-10-09 10:45:47,sms,Your payment of ₹4521 was successful.,0
MSG_00133,CUST101837,2025-10-08 08:20:34,sms,Payment received for order #2481. Thank you for shopping with us.,0
MSG_00134,CUST101617,2025-10-14 18:34:50,sms,Payment received for order #9265. Thank you for shopping with us.,0
MSG_00135,CUST101404,2025-10-05 04:56:28,email,Your payment of ₹6821 was successful.,0
MSG_00136,CUST100999,2025-10-11 03:52:06,call,"Dear customer, your monthly statement is ready.",0
MSG_00137,CUST100870,2025-11-03 01:45:30,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00138,CUST101042,2025-10-16 21:07:53,sms,Your payment of ₹3264 was successful.,0
MSG_00139,CUST100211,2025-11-03 05:12:09,chat,"Dear customer, your monthly statement is ready.",0
MSG_00140,CUST100626,2025-10-24 16:50:25,call,Your payment of ₹8528 was successful.,0
MSG_00141,CUST100926,2025-11-01 07:56:58,email,"Dear customer, your monthly statement is ready.",0
MSG_00142,CUST100985,2025-10-05 05:24:20,sms,"Dear customer, your monthly statement is ready.",0
MSG_00143,CUST100661,2025-10-20 19:37:03,sms,"Dear customer, your monthly statement is ready.",0
MSG_00144,CUST101659,2025-10-22 20:38:34,sms,"Dear customer, your monthly statement is ready.",0
MSG_00145,CUST100705,2025-10-13 01:30:00,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00146,CUST101044,2025-10-26 16:08:53,email,Your account will be locked soon. Confirm details.,0
MSG_00147,CUST100710,2025-10-07 14:40:03,email,Your payment of ₹7127 was successful.,0
MSG_00148,CUST100890,2025-10-17 01:44:56,chat,"Dear customer, your account will be deactivated today unless you verify.",1
MSG_00149,CUST101259,2025-10-15 05:15:08,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00150,CUST101865,2025-10-29 23:10:42,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00151,CUST101560,2025-10-14 13:21:19,chat,Urgent: Confirm your KYC immediately to avoid suspension.,1
MSG_00152,CUST100473,2025-10-14 06:08:38,sms,Your payment of ₹2469 was successful.,0
MSG_00153,CUST101586,2025-10-19 17:13:57,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00154,CUST100019,2025-10-06 06:00:18,email,"Dear customer, your monthly statement is ready.",0
MSG_00155,CUST100413,2025-10-05 22:40:05,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00156,CUST100826,2025-10-14 23:35:36,email,"Dear customer, your monthly statement is ready.",0
MSG_00157,CUST101411,2025-10-20 14:33:50,email,Payment received for order #6606. Thank you for shopping with us.,0
MSG_00158,CUST101575,2025-10-18 06:06:11,sms,"Dear customer, your monthly statement is ready.",0
MSG_00159,CUST101225,2025-10-17 13:26:05,call,"Dear customer, your monthly statement is ready.",0
MSG_00160,CUST101787,2025-11-01 07:12:43,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00161,CUST101085,2025-10-28 14:04:46,sms,"Dear customer, your monthly statement is ready.",0
MSG_00162,CUST100703,2025-11-01 18:12:42,sms,Payment received for order #4043. Thank you for shopping with us.,0
MSG_00163,CUST100125,2025-10-06 17:38:39,email,Your balance update: ₹1105 available.,0
MSG_00164,CUST101508,2025-10-17 13:16:20,call,Payment received for order #7248. Thank you for shopping with us.,0
MSG_00165,CUST100959,2025-10-05 16:39:07,call,Your payment of ₹5775 was successful.,0
MSG_00166,CUST100787,2025-10-05 04:05:04,email,Payment received for order #5958. Thank you for shopping with us.,0
MSG_00167,CUST101276,2025-10-25 06:37:18,sms,Transaction declined. Update your information.,0
MSG_00168,CUST101868,2025-10-10 13:53:43,chat,"Dear customer, your monthly statement is ready.",0
MSG_00169,CUST100648,2025-10-11 08:25:58,sms,"Dear customer, your monthly statement is ready.",0
MSG_00170,CUST100358,2025-10-19 21:10:42,email,Your balance update: ₹4576 available.,0
MSG_00171,CUST100419,2025-10-31 14:32:54,call,Your payment of ₹6748 was successful.,0
MSG_00172,CUST101662,2025-10-24 07:27:27,sms,"Dear customer, your monthly statement is ready.",0
MSG_00173,CUST100046,2025-10-12 05:01:33,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00174,CUST100728,2025-10-25 02:35:51,chat,Your balance update: ₹4032 available.,0
MSG_00175,CUST101006,2025-10-18 13:45:05,call,"Dear customer, your monthly statement is ready.",0
MSG_00176,CUST100778,2025-10-28 17:02:56,email,Your balance update: ₹4175 available.,0
MSG_00177,CUST100735,2025-10-28 08:51:57,email,Your payment of ₹6313 was successful.,0
MSG_00178,CUST101604,2025-10-14 21:32:32,email,"Dear customer, your monthly statement is ready.",0
MSG_00179,CUST101036,2025-10-12 11:26:20,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00180,CUST100879,2025-10-26 09:14:32,call,"Dear customer, your monthly statement is ready.",0
MSG_00181,CUST101888,2025-10-13 12:04:39,call,Unusual activity detected. Click here to secure your card.,0
MSG_00182,CUST101133,2025-10-12 09:31:22,chat,Your account will be locked soon. Confirm details.,0
MSG_00183,CUST101530,2025-10-23 16:54:33,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00184,CUST100792,2025-10-09 12:52:38,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00185,CUST101180,2025-10-18 22:24:16,sms,Your balance update: ₹6737 available.,0
MSG_00186,CUST100373,2025-10-17 20:10:02,chat,"Dear customer, your monthly statement is ready.",0
MSG_00187,CUST101146,2025-11-03 05:07:10,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00188,CUST100708,2025-10-20 11:13:44,sms,Your balance update: ₹1753 available.,0
MSG_00189,CUST101344,2025-10-12 16:36:54,call,"Dear customer, your monthly statement is ready.",0
MSG_00190,CUST100286,2025-10-06 17:09:44,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00191,CUST100857,2025-10-07 23:37:52,sms,"Dear customer, your monthly statement is ready.",0
MSG_00192,CUST101958,2025-10-05 11:52:47,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00193,CUST101888,2025-10-13 11:41:39,chat,Your balance update: ₹7146 available.,0
MSG_00194,CUST100021,2025-10-20 18:43:42,chat,"Dear customer, your monthly statement is ready.",0
MSG_00195,CUST101182,2025-10-28 10:00:45,sms,Your balance update: ₹690 available.,0
MSG_00196,CUST100942,2025-10-14 04:24:50,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00197,CUST100748,2025-11-03 05:12:05,chat,"Dear customer, your monthly statement is ready.",0
MSG_00198,CUST101954,2025-10-12 08:11:59,chat,Your balance update: ₹3878 available.,0
MSG_00199,CUST101961,2025-10-10 16:26:14,chat,Payment received for order #3766. Thank you for shopping with us.,0
MSG_00200,CUST101910,2025-10-26 18:13:47,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00201,CUST101503,2025-10-28 07:07:46,sms,"Dear customer, your monthly statement is ready.",0
MSG_00202,CUST101169,2025-10-05 09:23:17,sms,Payment received for order #2372. Thank you for shopping with us.,0
MSG_00203,CUST101524,2025-10-06 09:17:42,email,Your payment of ₹136 was successful.,0
MSG_00204,CUST101286,2025-10-10 04:52:16,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00205,CUST101217,2025-10-25 17:04:28,email,"Dear customer, your monthly statement is ready.",0
MSG_00206,CUST100189,2025-10-28 04:11:49,call,Payment received for order #9373. Thank you for shopping with us.,0
MSG_00207,CUST100536,2025-10-22 03:12:16,chat,Your balance update: ₹3140 available.,0
MSG_00208,CUST101391,2025-10-07 01:40:27,email,Your bank account is under review. Click the link to continue banking.,1
MSG_00209,CUST101994,2025-10-07 16:08:55,chat,Your payment of ₹5066 was successful.,0
MSG_00210,CUST100426,2025-10-07 22:31:50,chat,"Dear customer, your monthly statement is ready.",0
MSG_00211,CUST101916,2025-10-13 20:18:17,call,Your payment of ₹8090 was successful.,0
MSG_00212,CUST100765,2025-10-27 18:11:53,sms,Your payment of ₹2807 was successful.,0
MSG_00213,CUST101076,2025-10-19 05:02:41,call,Your payment of ₹8790 was successful.,0
MSG_00214,CUST101653,2025-10-31 17:33:37,sms,Your balance update: ₹9764 available.,0
MSG_00215,CUST101631,2025-10-16 12:14:32,sms,Your balance update: ₹6192 available.,0
MSG_00216,CUST101854,2025-10-22 10:21:42,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00217,CUST101667,2025-10-07 19:03:13,sms,Your balance update: ₹7028 available.,0
MSG_00218,CUST100360,2025-10-19 23:40:47,chat,Your balance update: ₹1271 available.,0
MSG_00219,CUST100656,2025-10-25 11:22:09,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00220,CUST101985,2025-10-28 21:49:52,email,Your balance update: ₹2555 available.,0
MSG_00221,CUST100284,2025-10-10 04:41:27,call,Your payment of ₹3540 was successful.,0
MSG_00222,CUST100331,2025-10-14 05:39:46,sms,Payment received for order #1143. Thank you for shopping with us.,0
MSG_00223,CUST100804,2025-11-01 10:20:11,email,Payment received for order #7629. Thank you for shopping with us.,0
MSG_00224,CUST101347,2025-10-12 09:00:33,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00225,CUST100305,2025-10-18 12:23:50,email,"Dear customer, your monthly statement is ready.",0
MSG_00226,CUST100252,2025-10-11 15:33:52,call,Your payment of ₹6153 was successful.,0
MSG_00227,CUST101499,2025-10-17 13:48:54,email,We noticed a login attempt. Please verify immediately.,0
MSG_00228,CUST100718,2025-10-31 19:15:59,chat,"Dear customer, your monthly statement is ready.",0
MSG_00229,CUST100086,2025-10-16 00:11:18,chat,"Dear customer, your monthly statement is ready.",0
MSG_00230,CUST101072,2025-11-02 08:55:59,email,Your balance update: ₹6730 available.,0
MSG_00231,CUST100965,2025-10-21 11:51:53,call,Your payment of ₹4404 was successful.,0
MSG_00232,CUST101624,2025-10-25 02:02:29,chat,"Dear customer, your monthly statement is ready.",0
MSG_00233,CUST101423,2025-10-09 11:35:40,email,Your balance update: ₹6825 available.,0
MSG_00234,CUST101779,2025-10-26 22:29:14,sms,Your balance update: ₹3528 available.,0
MSG_00235,CUST101339,2025-10-16 08:36:10,chat,Your SBI card will be blocked within 24 hours. Verify OTP now.,1
MSG_00236,CUST101322,2025-10-09 22:22:26,call,"Dear customer, your monthly statement is ready.",0
MSG_00237,CUST100962,2025-10-28 23:08:57,chat,Your balance update: ₹4570 available.,0
MSG_00238,CUST100691,2025-10-06 16:50:10,chat,We noticed a login attempt. Please verify immediately.,0
MSG_00239,CUST100456,2025-10-13 20:03:50,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00240,CUST101845,2025-10-22 21:19:23,email,"Dear customer, your account will be deactivated today unless you verify.",1
MSG_00241,CUST100142,2025-10-31 17:00:10,chat,Your OTP for transaction is valid for 10 minutes.,0
MSG_00242,CUST101928,2025-10-15 01:14:12,sms,"Dear customer, your monthly statement is ready.",0
MSG_00243,CUST100658,2025-10-22 18:23:29,sms,Your balance update: ₹6680 available.,0
MSG_00244,CUST100556,2025-10-24 21:16:08,chat,Your payment of ₹2134 was successful.,0
MSG_00245,CUST101549,2025-10-09 03:14:37,email,Your balance update: ₹9960 available.,0
MSG_00246,CUST101369,2025-10-22 04:20:53,call,"Dear customer, your monthly statement is ready.",0
MSG_00247,CUST100246,2025-10-24 15:24:20,sms,Payment received for order #4147. Thank you for shopping with us.,0
MSG_00248,CUST100617,2025-11-03 11:27:21,chat,Your balance update: ₹6172 available.,0
MSG_00249,CUST101077,2025-10-27 16:47:17,call,Your payment of ₹8455 was successful.,0
MSG_00250,CUST101986,2025-10-18 07:46:51,email,"Dear customer, your monthly statement is ready.",0
MSG_00251,CUST100422,2025-10-09 11:34:32,chat,"Dear customer, your monthly statement is ready.",0
MSG_00252,CUST101333,2025-10-07 22:00:04,chat,"Dear customer, your monthly statement is ready.",0
MSG_00253,CUST101937,2025-10-08 02:42:03,sms,Payment received for order #7747. Thank you for shopping with us.,0
MSG_00254,CUST101602,2025-10-24 17:05:07,sms,Urgent: Confirm your KYC immediately to avoid suspension.,1
MSG_00255,CUST101175,2025-10-12 16:06:51,chat,Your payment of ₹6681 was successful.,0
MSG_00256,CUST100205,2025-10-30 19:18:01,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00257,CUST101296,2025-10-14 19:08:25,email,Payment received for order #8935. Thank you for shopping with us.,0
MSG_00258,CUST101841,2025-10-05 03:10:04,call,Your payment of ₹4922 was successful.,0
MSG_00259,CUST100347,2025-10-13 22:03:48,sms,Your balance update: ₹7003 available.,0
MSG_00260,CUST101106,2025-10-06 06:16:04,chat,We noticed a login attempt. Please verify immediately.,0
MSG_00261,CUST100261,2025-10-06 08:54:51,sms,Payment received for order #8157. Thank you for shopping with us.,0
MSG_00262,CUST100972,2025-10-05 08:58:41,email,"Dear customer, your monthly statement is ready.",0
MSG_00263,CUST100366,2025-10-25 20:03:33,chat,Payment received for order #6595. Thank you for shopping with us.,0
MSG_00264,CUST100477,2025-10-08 15:29:35,sms,Payment received for order #6017. Thank you for shopping with us.,0
MSG_00265,CUST100238,2025-10-12 21:12:35,sms,Payment received for order #6511. Thank you for shopping with us.,0
MSG_00266,CUST100609,2025-10-28 04:56:59,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00267,CUST100267,2025-11-02 03:44:34,chat,Your payment of ₹2264 was successful.,0
MSG_00268,CUST100302,2025-10-05 19:00:51,sms,Urgent: Confirm your KYC immediately to avoid suspension.,1
MSG_00269,CUST100680,2025-11-02 23:23:41,chat,"Dear customer, your monthly statement is ready.",0
MSG_00270,CUST100973,2025-10-06 19:39:16,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00271,CUST101427,2025-10-20 02:28:40,email,Your OTP for transaction is valid for 10 minutes.,0
MSG_00272,CUST100840,2025-10-22 18:23:54,sms,Your balance update: ₹4425 available.,0
MSG_00273,CUST101199,2025-10-06 18:11:32,sms,Your payment of ₹9061 was successful.,0
MSG_00274,CUST101147,2025-10-20 20:44:43,sms,"Dear customer, your monthly statement is ready.",0
MSG_00275,CUST100700,2025-10-07 16:00:28,email,Your payment of ₹7854 was successful.,0
MSG_00276,CUST100899,2025-10-22 20:21:39,call,Your account will be locked soon. Confirm details.,0
MSG_00277,CUST101790,2025-10-30 17:32:42,email,"Dear customer, your monthly statement is ready.",0
MSG_00278,CUST101910,2025-10-19 22:22:29,email,Your balance update: ₹1881 available.,0
MSG_00279,CUST101980,2025-10-04 21:31:53,call,Your OTP for transaction is valid for 10 minutes.,0
MSG_00280,CUST101737,2025-11-01 00:36:40,call,Your balance update: ₹9389 available.,0
MSG_00281,CUST100490,2025-10-23 02:23:52,sms,Your OTP for transaction is valid for 10 minutes.,0
MSG_00282,CUST100308,2025-10-06 03:46:15,sms,"Dear customer, your monthly statement is ready.",0
MSG_00283,CUST100448,2025-10-24 18:23:08,chat,Your balance update: ₹1019 available.,0
MSG_00284,CUST100241,2025-10-20 00:09:16,call,"Dear customer, your monthly statement is ready.",0
